eventTypeId,createdBy,dataTypeSeq,description,modifiedBy,etag,notAllowUpdate,createDate
0,ET08,PortalAdmin,16607023625928888,All-In-One Hardware,,1610743863070,False,2018-05-28T12:38:09.000+02:00
1,ET52,PortalAdmin,16607023625928888,Usage,,1610743863071,False,2017-04-11T03:42:56.000+02:00
2,ET51,PortalAdmin,16607023625928890,Pack Prolongation,,1610743863071,False,2017-04-11T03:43:50.000+02:00
3,ET50,PortalAdmin,16607023625928892,First Usage,,1610743863071,False,2017-04-11T03:45:48.000+02:00
4,ET09,PortalAdmin,16607023625928894,All-In-One Hardware Return,,1610743863071,False,2018-05-28T12:38:38.000+02:00
5,ET15,PortalAdmin,16607023625928896,Prepaid Option,,1610743863071,False,2018-05-28T12:39:36.000+02:00
6,ET14,PortalAdmin,16607023625928986,Recharge / Top-up,,1610743863071,False,2017-04-11T03:47:50.000+02:00
7,ET12,dgadde,16607023625929086,Prepaid Registration,,1610743863071,False,2017-08-10T20:51:45.000+02:00
8,ET18,rnethi,16607023625929288,Pass Through,,1610743863071,False,2017-05-30T02:42:12.000+02:00
9,ET13,PortalAdmin,16607023625929386,Mobile Number Portability,,1610743863071,False,2018-05-28T12:39:05.000+02:00
